Quelle est la formule de Willis pour le rapport de réduction d'un train d'engrenages (simple ou composé)?;*omega*S / *omega*E = (-1)^p * (Produit des Z menantes / Produit des Z menées).;*omega*S / *omega*E = R_e / R_s.;*omega*S / *omega*E = -Z_e / Z_s.;*omega*S / *omega*E = 1.
Quel est le rapport de réduction pour un engrenage simple (2 roues)?;*omega*R / *omega*M = -R_S / R_2 = -Z_S / Z_2.;*omega*R / *omega*M = R_2 / R_S.;*omega*R / *omega*M = +Z_S / Z_2.;*omega*R / *omega*M = 1.
Quelle est la relation entre la vitesse V et la vitesse angulaire *omega* pour une liaison pignon-crémaillère?;V = R * *omega* (Vitesse linéaire = Rayon * Vitesse angulaire).;V = R / *omega*.;V = R + *omega*.;V = R - *omega*.
Qu'est-ce qui caractérise le mouvement hélicoïdal dans le torseur cinématique?;V_x = P/(2*pi) * *omega*x.;V_x = *omega*x.;V_x = 0.;V_x est indépendante de *omega*x.
Quel avantage est associé au mécanisme vis-écrou?;Grande réduction de vitesse et peu d'encombrement.;Rendement très bon.;Réversibilité.;Pas de frottement.
Quel inconvénient est associé au mécanisme vis-écrou?;Rendement très mauvais et irréversibilité.;Peu d'encombrement.;Grande réduction de vitesse.;Réversibilité.
Quelle est la définition analytique du produit scalaire de deux vecteurs V1(a|b|c) et V2(a'|b'|c')?;V1 . V2 = a*a' + b*b' + c*c'.;V1 . V2 = a*b' - b*a'.;V1 . V2 = V1 ^ V2.;V1 . V2 = ||V1|| * ||V2||.
Que signifie V1 . V2 = 0?;Les vecteurs V1 et V2 sont orthogonaux.;Les vecteurs V1 et V2 sont colinéaires.;V1 et V2 sont égaux.;V1 est nul.
Quelle est la relation entre le produit vectoriel V1 ^ V2 et V2 ^ V1 (antisymétrie)?;V1 ^ V2 = -(V2 ^ V1).;V1 ^ V2 = V2 ^ V1.;V1 ^ V2 = V1 . V2.;V1 ^ V2 = 0.
Que signifie V1 ^ V2 = vecteur nul?;Les vecteurs V1 et V2 sont colinéaires.;Les vecteurs V1 et V2 sont orthogonaux.;V1 et V2 sont égaux.;V1 est nul.
Dans un changement de base (rotation d'angle *theta*) quelle est la projection de x2 sur x1?;x2 . x1 = cos(*theta*).;x2 . x1 = sin(*theta*).;x2 . x1 = 0.;x2 . x1 = 1.
Quelle est l'interprétation géométrique du produit scalaire V . U (U vecteur unitaire)?;Mesure algébrique de la projection de V sur la droite dirigée par U.;Mesure de l'angle entre V et U.;Mesure de l'aire formée par V et U.;Mesure de la longueur de V.
Quelle est la formule du vecteur accélération du point P dans R0?;A(P/R0) = d(V(P/R0))/dt |_R0.;A(P/R0) = V(P/R0) ^ Omega.;A(P/R0) = d(V(P/R0))/dt |_R1.;A(P/R0) = d(OP)/dt.
Comment s'écrit le torseur cinématique d'une liaison Pivot Glissant d'axe (O | X)?;{Omega_x V_x | 0 0 | 0 0}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 0 | 0 0 | Omega_z V_z}_O.;{Omega_x 0 | 0 V_y | 0 V_z}_O.
Quelle est la forme du torseur cinématique d'une liaison Rotule de centre O?;{Omega_x 0 | Omega_y 0 | Omega_z 0}_O.;{0 V_x | 0 V_y | 0 V_z}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 0 | 0 0 | 0 0}_O.
Quelle est la forme du torseur cinématique d'une liaison Hélicoïdale d'axe (O | X)?;{Omega_x V_x | 0 0 | 0 0}_O avec V_x = P/(2*pi) * Omega_x.;{Omega_x 0 | 0 0 | 0 0}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 V_x | 0 V_y | 0 V_z}_O.
